CUST_ID,name,GENDER_CD,EDUCATION_CD,SUBS_TENURE,TOT_OB_CALL_INTL_ROAM_CNT,TOT_DAY_LAST_COMPLAINT_CNT,TOT_DAY_LAST_SUSPENDED_CNT,MTH_TO_SUBS_END_CNT,TOT_SRV_DROPPED_CNT,TOT_SRV_ADDED_CNT,BARRING_REASON_CD,REV_AMT_BASE_1,REV_AMT_BASE_2,CUST_AGE,PCT_CHNG_IB_SMS_CNT,CHURN_FLG,SET
5212,Suzzane N Smith,M,1,126,0.063914421,12,24,4,1,3,1,1049,993,39,0.822033898,0,serve5
6303,Barry A Baldwin,M,2,156,0.344786045,3,20,3,1,1,1,701,1107,32,0.90052356,0,serve5
3355,Sally T Brown,M,2,102,0.756305172,11,9,1,1,3,3,515,500,32,1.747474748,0,serve5
4996,Hillary R Green,M,2,102,3.432837574,19,16,3,0,2,1,404,816,42,0.988593156,0,serve5
1208,Carl Y Taylor,F,2,96,0.028098907,14,16,3,1,2,2,313,225,49,0.278787879,0,serve5
2394,Bond D Hodges,F,1,150,9.338158478,2,4,4,2,1,1,549,1175,33,1.472392638,0,serve5
5199,Augustine   Morgan,F,1,120,0.315219497,20,1,1,0,0,2,843,1193,45,1.375,0,serve5
518,Racheal Q Mcintyre,M,1,120,1.858548895,17,12,3,0,1,3,874,976,56,0.490909091,0,serve5
5330,Mary N Maxwell,M,1,126,0.592601452,9,19,3,0,0,0,1073,830,50,0.52631579,0,serve5
6384,Adolph X Rhodes,M,2,96,0.491094651,18,10,2,1,1,0,1091,1132,33,0.438095238,0,serve5
3770,Carl X Cook,M,1,174,0.19769463,6,3,3,1,1,0,654,208,43,1.807017544,0,serve5
5175,Pele K White,M,1,120,0.540717899,17,19,3,1,2,1,564,242,61,2.056179775,0,serve5
7538,Larry Y D'souza,F,1,114,0.318753446,19,28,3,1,0,3,324,627,29,1.873417722,0,serve5
6555,Clifford B Walter,M,2,96,0.503915607,10,19,1,0,2,1,712,561,27,1.253333333,0,serve5
2526,Cathy O Donald,M,4,84,0.486295156,30,17,1,0,1,3,845,1125,28,0.93877551,0,serve5
2471,Ralph V Robinson,M,1,102,0.31873584,6,7,2,0,1,2,349,470,52,0.751515152,0,serve5
1942,Gregory V Barlow,F,2,78,2.041435424,11,23,2,2,2,1,564,1094,35,1.346938776,0,serve5
3602,Bond F Howarth,F,1,90,0.258650719,14,8,3,1,2,1,442,894,25,1.577464789,0,serve5
4028,Bonnie K Connor,M,2,90,2.182265267,5,2,2,1,1,3,780,857,59,2.134615385,0,serve5
6804,Debra L Rutherford,M,1,108,3.064578174,11,19,4,2,2,2,293,839,39,2.039215686,0,serve5
1214,Clifford I Richie,M, .,126,3.397768794,16,18,2,0,2,0,1028,820,44,1.079812207,0,serve5
1130,Christine E Thomas,M,2,108,0.315946296,12,11,3,2,2,3,769,1008,28,1.367231638,0,serve5
1025,Clifford T Jhonson,F, .,90,0.593337817,8,16,2,2,1,0,262,631,35,0.922222222,0,serve5
5455,George F D'souza,M,1,90,0.166911413,17,7,4,0,3,0,1148,1319,37,3.45,0,serve5
5293,Bonnie D Hadley,M,1,90,0.399555391,11,4,3,2,0,2,419,598,58,0.42364532,0,serve5
2859,Madonna T Botham,F,2,126,1.209355853,5,4,2,0,2,0,534,1326,53,1.443037975,0,serve5
5142,Jeanine W Hodges,F,3,132,0.151015287,7,20,3,1,3,2,585,847,22,0.828282828,0,serve5
1659,George   Jones,M,2,90,0.471077962,10,19,4,0,2,1,327,339,49,0.775,0,serve5
7143,Michelle R Botham,M,1,162,0.751839421,8,4,1,1,2,3,850,620,38,0.734042553,0,serve5
6673,Desmond K Potter,M,1,132,3.681797916,27,34,3,2,1,2,623,1160,54,0.27230047,0,serve5
2471,Kristin U Baldwin,M, .,162,1.419922027,7,0,1,1,2,1,816,1183,54,1.494117647,0,serve5
2102,Duncan D Bradley,M, .,132,0.52366346,17,13,4,1,3,2,257,450,53,1.281481482,0,serve5
3505,Ralph Q Donald,M,1,132,0.417333626,19,18,3,1,1,1,941,389,48,1.04,0,serve5
6562,Sumantha J Warton,M,1,144,0.55658298,2,16,3,2,0,2,531,681,47,0.958762887,0,serve5
1645,Bill M Donald,M,2,144,0.234281105,14,11,1,1,3,0,1175,311,56,2.388059702,0,serve5
7629,Britney S Bradley,M,2,144,1.129183981,19,34,2,1,2,3,252,494,22,0.896551724,0,serve5
786,Stanford V Watson,M,1,108,0.041633863,3,14,4,1,0,2,1035,1142,54,1.286624204,0,serve5
7715,Phil R Jhonson,M,3,126,2.977909321,12,14,3,1,1,2,607,407,31,1.933701658,0,serve5
623,Steve N Nicholson,F,2,162,0.415441105,3,17,3,0,2,0,774,993,28,1.336842105,0,serve5
6034,Augustine H Watson,F,2,114,0.296750128,9,10,1,1,2,2,603,1047,35,1.657894737,0,serve5
7147,Alex E Lara,M,2,102,1.773245768,5,19,2,1,3,2,260,887,48,1.714285714,0,serve5
6704,Christian V Cook,F,2,108,0.221604868,3,24,3,1,3,1,760,387,26,1.17948718,0,serve5
3846,Solomon A Rogers,F, .,72,0.216973215,7,12,2,1,1,3,906,545,30,0.883977901,0,serve5
4377,Harry A Mcintyre,M,1,114,0.344270005,1,17,4,1,2,2,1074,494,44,1.643243243,0,serve5
2022,Dean A Birch,F,1,78,0.316939258,4,11,3,2,2,2,296,399,36,0.673076923,0,serve5
5316,Madonna W Fleming,M,1,78,0.227781446,4,22,3,1,3,1,394,1166,35,0.854054054,0,serve5
6889,Christian V Black,M,2,132,0.154095337,14,1,2,1,0,0,605,1031,38,1.534391534,0,serve5
4760,Britta W Roberts,F,2,156,0.631501924,7,5,2,1,2,3,736,430,30,0.738461539,0,serve5
2655,Jhonny T Renne,M, .,132,0.657598586,8,7,2,2,1,1,576,1059,31,1.383259912,0,serve5
4591,Currie V Robinson,M,2,96,2.306392656,16,19,4,1,2,0,676,971,31,1.57948718,0,serve5
7066,Tim T Rutherford,F,1,78,0.456461145,18,23,4,2,0,3,1140,495,37,0.782122905,0,serve5
7572,Elaine I Cook,M, .,78,2.708825762,18,12,1,0,3,2,639,286,46,0.755813954,0,serve5
627,Mary T D'souza,M,2,120,0.622511279,5,23,2,0,1,3,1113,485,28,0.866666667,0,serve5
6333,Steve B Fowler,M,2,138,0.93425396,4,21,3,1,2,3,1100,1075,35,2.696428571,0,serve5
5111,Racheal U Pott,M, .,108,0.399353315,1,20,1,0,1,3,259,1330,57,0.81443299,0,serve5
4142,Britney A Watson,M,4,78,0.154585573,14,15,3,1,2,0,873,971,30,1.341176471,0,serve5
5038,Amy Z Wright,F,1,138,0.623921555,10,8,3,2,0,2,921,1179,57,0.849557522,0,serve5
5387,Hendrick S Murray,M,2,114,0.452591049,11,24,2,0,3,2,685,331,48,0.937931035,0,serve5
1231,Irene A Cook,M,1,108,2.55454098,11,11,4,0,0,3,418,204,38,1.285024155,0,serve5
3963,James K Baxter,M,2,120,0.162272458,10,20,3,0,1,0,601,1355,52,1.7,0,serve5
465,Cathy X Brown,F,1,138,0.402962921,22,22,3,1,0,3,535,509,25,1.705426357,0,serve5
986,Sumantha Y Donald,M,2,78,1.727180109,7,12,3,0,1,0,932,575,27,0.382352941,0,serve5
5095,Christine S Warner,M,2,132,0.152784654,7,14,1,1,2,1,656,1358,30,0.525821596,0,serve5
3799,Alex F Moss,M,1,162,0.049233315,14,2,4,1,1,2,500,552,48,0.631016043,0,serve5
4682,Dean G Donald,M,1,120,0.894043921,14,16,1,1,2,1,559,326,31,1.786666667,0,serve5
7244,Barry J Besser,M,1,102,0.780845663,11,3,2,0,2,0,1079,1276,38,1.655172414,0,serve5
5520,Pauline   Albright,M,1,108,0.357534662,11,19,3,1,1,2,1122,642,33,1.943262411,0,serve5
6044,Russel W Pearson,F,1,90,0.253818557,15,2,2,2,3,0,1189,1334,29,0.921465969,0,serve5
6645,Nicholas   Crowe,F,1,78,0.925009201,7,1,2,0,2,2,341,1073,30,1.123809524,0,serve5
2247,Jeremy F Lee,M,1,90,0.536694949,12,4,2,1,2,1,292,1166,36,1.144654088,0,serve5
4195,Clara U Powell,M,1,126,0.487389112,8,16,3,1,2,3,452,1210,57,2.717391304,0,serve5
236,Larry D Spear,M,2,114,0.193098374,21,16,3,1,1,0,235,554,57,0.777777778,0,serve5
3825,Stanford S Winters,F, .,108,0.225679551,4,8,1,2,1,1,897,1154,23,1.5375,0,serve5
4283,Irene S Pott,M,1,192,0.286795366,18,13,3,2,0,3,1172,917,55,1.908396947,0,serve5
7032,Mary V Brown,M,2,78,0.860504996,3,0,2,1,3,0,261,599,26,1.238095238,0,serve5
6386,Paul Y Hunt,M,1,108,0.641038223,2,17,2,2,3,2,252,519,50,0.938053097,0,serve5
2158,Tom X Rogers,F,2,144,0.055140074,13,18,2,1,3,3,494,645,49,1.244444444,0,serve5
2497,Tom B Lowe,F,1,144,0.125196346,11,23,1,2,2,3,1033,888,23,1.413043478,0,serve5
2270,Alysia H Watson,F,1,108,6.192717119,5,6,3,1,2,1,623,1183,43,1.71291866,0,serve5
3634,Marilyn U Turner,M,1,102,0.115138664,6,17,3,0,1,0,613,615,44,0.552486188,0,serve5
1261,Bonnie G Wingard,F,1,114,0.318750198,9,7,2,2,2,0,1008,826,56,0.572815534,0,serve5
2532,Keith W Crawford,F,1,48,0.39547124,28,31,2,0,1,2,1092,954,57,1.063414634,0,serve5
2113,Ignatius Q Baxter,M,2,96,0.227742562,15,33,4,1,3,2,521,271,36,1.01980198,0,serve5
5070,Anne R Nicholson,F,1,144,2.022890994,5,10,4,1,1,2,1195,352,45,1.308900524,0,serve5
251,Paul I Warner,M,2,108,1.890608721,1,10,3,2,2,0,361,832,52,1.317307692,0,serve5
2751,Debbie W Connor,M,1,96,0.439616896,21,22,3,0,0,2,694,483,50,1.150537634,0,serve5
5641,Amy C Mcintyre,M,2,84,0.637510504,19,13,2,1,3,3,394,797,44,1.50802139,0,serve5
554,Hillary Z Welsh,F,1,102,0.142407511,2,19,3,0,1,2,360,927,49,1.031111111,0,serve5
5829,Christine H Evans,F,1,156,1.941352425,14,9,2,1,1,0,507,673,30,1.509933775,0,serve5
2507,Clarke T Anderson,M,1,114,0.887355072,28,15,2,2,0,0,832,975,59,1.421052632,0,serve5
432,Howard C Jackson,F,1,120,0.282867667,6,24,2,1,2,3,873,875,27,1.583333333,0,serve5
5564,Steward R Turner,M,1,108,0.550789334,12,15,4,1,1,3,568,545,41,1.42,0,serve5
7794,Bond M Roberts,M,2,144,0.638399962,2,3,3,0,1,3,839,546,33,1.671641791,0,serve5
5615,Elaine V Hadley,M,1,126,1.303970696,8,11,3,0,0,2,859,463,60,1.782945736,0,serve5
7277,Brooks B Cooke,F,2,84,0.689620786,4,16,1,2,2,2,701,657,44,1.604166667,0,serve5
4452,Eve Q Besser,F, .,96,105.1514835,12,19,1,1,3,0,737,613,60,1.502762431,0,serve5
3773,Anne O Besser,M,2,66,0.059358938,9,17,2,1,2,1,367,622,49,0.721649485,0,serve5
1800,Irene K Fisher,F,2,114,0.097563924,9,7,2,2,2,1,691,402,24,1.408602151,0,serve5
390,Bernard U Rogers,M,2,138,44.91974252,9,11,1,2,0,3,804,228,41,1.204379562,0,serve5
2056,Mary Y Dsilva,F,2,132,0.002142168,5,12,2,2,2,0,1046,1250,49,0.663900415,0,serve5
5006,Clements F D'mello,M,1,120,2.57851357,11,4,1,2,1,1,1138,421,59,1.1,0,serve5
3070,David N Goodman,M,1,150,1.996343927,18,18,1,1,3,1,604,781,48,0.892473118,0,serve5
3325,Barry J Elder,F,1,90,0.308311411,14,6,1,2,0,1,1005,301,30,0.697674419,0,serve5
6228,Larry P King,M,2,132,0.803909785,15,15,4,2,1,2,498,871,54,1.602150538,0,serve5
4709,Pele K Lee,F,1,150,0.294052711,2,24,4,1,1,3,686,1392,42,1.251798561,0,serve5
3486,Dillon J Jhonson,F,1,126,0.098043743,15,1,4,2,3,1,224,308,55,1.661691542,0,serve5
4421,Mary M Baldwin,F,1,132,1.088206083,4,8,3,1,1,3,986,1053,35,0.858333333,0,serve5
4363,Britta F Potter,M,1,108,0.545438564,1,16,2,0,1,1,515,456,56,0.687830688,0,serve5
7514,Keith O Mcrae,M,1,150,0.554683786,13,25,3,0,1,3,363,1318,46,0.983783784,0,serve5
1553,Clements P Stuward,F,2,108,0.271649779,15,4,3,0,1,2,460,208,51,1.142857143,0,serve5
2986,Michael B White,M,2,156,1.658702101,29,30,3,1,1,1,241,1104,61,0.828571429,0,serve5
5629,Carl A Lintern,M,2,96,0.077783042,14,10,2,1,2,2,436,866,48,1.42,0,serve5
1045,Clara C Shaw,F,2,156,0.099955396,1,21,3,0,1,3,830,646,44,2.029411765,0,serve5
2800,Cindy F White,M,1,132,0.989471455,19,28,4,1,2,2,376,612,41,1.744360902,0,serve5
2978,Tom L Lowe,M,1,186,0.110658713,8,3,1,1,2,2,259,233,33,0.733624454,0,serve5
6575,Clements I Baker,M,1,120,2.404170772,5,5,1,1,0,1,849,1111,28,1.701149425,0,serve5
6353,Gregory G Potter,F,2,150,0.675854845,19,1,3,1,3,2,479,648,55,1.080213904,0,serve5
6144,Jhon R Maxwell,M,2,120,0.271479639,17,5,1,2,2,3,484,1271,35,0.797202797,0,serve5
4682,Alexandria J Hawkins,M,2,120,0.781507166,18,1,3,0,1,0,809,362,50,0.808743169,0,serve5
5910,Clive B Cook,F,1,174,0.874988538,19,21,3,1,1,3,622,587,38,1.502538071,0,serve5
56,Russel F D'mello,M,2,150,1.583353026,1,10,4,0,2,3,377,1256,55,1.246511628,0,serve5
7636,Sumantha E Spence,M,1,120,0.075940382,1,12,2,0,1,0,401,1084,35,0.73015873,0,serve5
4558,Marilyn Y Dsilva,M,2,108,0.589680001,8,15,1,2,0,0,489,408,37,1.742331288,0,serve5
4135,Jhon B Wood,F,2,138,0.567644726,17,14,3,1,1,1,594,552,57,1.652694611,0,serve5
154,David G Hunt,M,1,108,0.338688926,19,18,2,2,3,2,463,1265,48,0.93385214,0,serve5
6068,Jane U Fleming,M,1,162,0.34214195,15,13,2,1,2,0,890,1399,46,1.830985916,0,serve5
2741,Brooks Y Spence,M,2,126,4.045931923,11,18,3,2,0,3,1120,696,43,0.930481283,0,serve5
2749,Michael V Hadley,M,1,126,0.139851075,10,15,4,1,1,1,376,682,53,2.058823529,0,serve5
5861,Bonnie A Pearson,F,2,102,0.303671836,1,19,3,1,0,0,323,696,34,1.525179856,0,serve5
3167,Jim B Welsh,M,2,126,0.513375714,11,23,4,0,1,3,891,796,30,0.827272727,0,serve5
6586,Eve M Warton,F,2,150,5.173366631,2,14,3,0,2,3,778,1253,37,1.229437229,0,serve5
123,Ian T Botham,F,2,84,0.714810452,12,1,3,1,3,1,994,1042,30,0.675438597,0,serve5
104,Robert C Maxwell,M,2,54,0.443283372,5,2,4,1,3,1,1023,659,54,1.088235294,0,serve5
6767,Jhon M Moss,M,2,114,0.421556035,2,14,3,2,3,2,1173,1356,38,0.342857143,0,serve5
3434,Goldie U Wood,F, .,66,0.929198534,8,16,1,1,2,0,918,1125,56,0.764705882,0,serve5
3101,Christine N Birch,F,2,132,0.487430224,14,12,3,2,1,3,976,1019,34,1.38961039,0,serve5
3264,Sumantha Q King,F,2,150,1.705877754,6,17,2,1,2,0,248,291,37,0.933333333,0,serve5
1600,Rhonda N Howarth,F,1,114,15.32926259,10,24,2,2,3,0,609,798,29,1.259911894,0,serve5
7523,Jim A Rhodes,M,1,114,0.910409273,3,7,2,1,3,3,1093,1085,34,0.694444444,0,serve5
5628,Amy D Morgan,F,1,120,4.064552583,17,4,2,0,3,1,568,1294,54,1.282442748,0,serve5
5846,Keith L Spence,M,5,192,1.290361283,8,22,2,1,1,2,1056,1194,52,1.330357143,0,serve5
4365,Clara B Thomas,M,2,132,0.986963837,9,22,4,1,0,1,446,746,59,1.082644628,0,serve5
4195,Ignatius H Walter,M,1,114,0.116276433,9,12,3,0,1,3,494,993,59,1.076923077,0,serve5
6364,Steve Q Norton,M,1,120,0.529687555,11,6,1,2,0,2,845,653,40,0.857142857,0,serve5
1630,Phil W Taylor,M,2,156,0.362910147,6,20,3,1,0,2,916,1308,56,0.41025641,0,serve5
6025,Neal I Jones,M,1,96,0.330440212,12,8,3,0,1,2,374,727,55,2.117647059,0,serve5
4424,Steward B Spear,M,1,120,0.402817408,3,21,2,1,3,0,1004,547,55,1.196787149,0,serve5
2422,Pauline Y Maxwell,M,2,108,0.166863296,30,27,2,1,0,2,245,980,36,1.07755102,0,serve5
6550,Barry A Marshall,M,1,132,0.100097286,13,1,1,1,2,2,526,849,29,1.107913669,0,serve5
7196,Bill H Renne,F,1,162,0.080658065,21,19,4,0,1,0,592,1092,23,0.427807487,0,serve5
4083,Jack E Donald,M,1,114,0.061158239,11,19,2,1,2,1,473,1016,25,0.814545455,0,serve5
5949,Ian D Potter,F,1,162,20.20563851,19,10,4,2,3,1,656,443,55,1.241666667,0,serve5
383,Irene I Connor,M,1,132,3.866553117,15,13,1,2,0,0,303,283,53,1.291666667,0,serve5
389,Martin   Botham,M,1,162,0.53491589,13,22,2,0,3,1,1130,503,48,1.928994083,0,serve5
5659,Neal W Carson,F,1,132,0.088263389,13,18,3,1,2,0,327,1192,23,1.384615385,0,serve5
4889,Barry H Rutherford,F,1,108,0.297812149,22,23,2,0,2,2,1084,856,62,1.333333333,0,serve5
1217,Duncan G Jones,M,1,90,0.46525283,15,20,3,2,3,0,950,448,45,1.097744361,0,serve5
1140,Cameron I Lee,M,1,120,0.468888685,9,19,3,2,1,2,611,598,60,2.033333333,0,serve5
873,Barry E Robinson,F, .,78,1.150817774,22,6,1,1,2,0,206,361,28,1.166666667,0,serve5
7008,Neal C Anderson,F, .,114,1.65947535,32,18,4,2,1,3,237,1246,37,2.217948718,0,serve5
1482,Clive W Lyod,F, .,66,1.77652682,16,12,4,1,2,0,556,288,27,0.463054187,0,serve5
1170,Richard   Pearson,F, .,114,0.209918818,8,2,3,1,3,3,663,936,29,1.136094675,0,serve5
5246,Helen R Spear,F, .,114,0.3051081,17,24,4,2,1,1,455,1049,24,1.114155251,0,serve5
1146,Cameron B Baxter,F, .,144,0.043727281,10,3,3,1,3,0,676,485,54,1.051162791,0,serve5
6207,Eve X D'mello,F, .,54,0.045422859,11,14,1,1,3,2,973,641,60,1.027624309,0,serve5
5900,Ian E Donald,F, .,96,0.849509053,16,13,1,0,2,1,543,448,36,0.91954023,0,serve5
2920,Alysia G Howarth,F, .,132,1.223273874,9,17,3,1,0,2,422,642,57,1.035532995,0,serve5
2537,Demie P Adams,F, .,108,1.234106267,6,24,1,1,2,2,847,593,37,1.436619718,0,serve5
91,Anne G Baker,F, .,138,0.018244209,15,23,2,1,1,1,814,808,58,1.050847458,0,serve5
4578,Alexandria J Potter,F, .,144,1.00078947,13,7,3,1,0,2,848,346,44,1.151515152,0,serve5
786,Cameron E Rogers,F, .,132,0.559492168,11,23,2,1,1,3,725,286,54,1.166666667,0,serve5
1403,Debbie B Wallace,F, .,150,0.038048233,16,9,2,1,0,0,887,727,29,0.805755396,0,serve5
6109,Ignatius P Adams,F, .,126,0.558994711,2,23,2,1,1,3,658,645,42,0.47,0,serve5
4927,Bond W Lyod,F, .,156,0.04404119,4,12,1,1,1,0,835,938,58,1.547445256,0,serve5
5958,Nicholas I Muldowney,F, .,114,0.664548168,22,15,2,0,0,2,737,935,42,1.582608696,0,serve5
837,Stanley I Fisher,F, .,132,0.735845894,18,18,4,1,1,0,605,812,60,1.403508772,0,serve5
181,Anne L Muldowney,F, .,144,0.789164875,14,8,3,1,1,1,1146,1096,52,2.581196581,0,serve5
3770,Dillon F Eastwood,F, .,102,0.079461852,21,4,3,0,2,3,1191,877,39,1.222222222,0,serve5
996,Sumantha W Winters,F, .,90,0.566329206,16,23,2,1,0,1,770,515,58,0.634361234,0,serve5
4245,Neal A Lowe,F, .,120,0.334332545,8,10,1,2,0,2,783,1004,53,0.436781609,0,serve5
6460,Barry B West,F, .,144,0.24349098,1,2,4,2,1,2,814,1027,56,1.974025974,0,serve5
1973,Alex M Fleming,F, .,126,0.165254216,13,11,2,1,2,2,241,645,50,2.104575163,0,serve5
4524,Clarke Z Birch,F, .,120,0.593556931,10,22,2,0,2,1,635,343,49,0.816568047,0,serve5
3588,Sam N Hartley,F, .,138,0.43103667,8,21,3,0,1,3,563,263,32,1.442857143,0,serve5
1979,Neal   Botham,F, .,114,0.494661592,24,17,2,2,1,0,221,506,62,1.559322034,0,serve5
1568,Arlene B Welsh,F, .,114,0.326474501,1,14,3,2,2,2,469,831,59,1.117318436,0,serve5
4830,Robert Y Fisher,F, .,90,0.040872282,20,2,3,1,1,0,497,708,27,0.741463415,0,serve5
5175,Marilyn L Jhonson,F, .,132,0.678873576,21,23,3,2,1,0,928,286,49,1.534883721,0,serve5
4521,Pauline C Flower,F, .,144,0.028509298,5,24,2,0,0,0,523,1345,55,1.84496124,0,serve5
6894,Alexandria   Lowe,F, .,120,0.590735461,4,15,2,2,0,0,1191,1251,35,2.148148148,0,serve5
5729,Carlin M Richards,F, .,162,4.16318553,6,20,2,1,3,3,666,332,39,2.176100629,0,serve5
2559,Carlin   Wilkinson,F, .,138,0.040373858,6,1,3,2,1,1,621,1202,41,1.266055046,0,serve5
6317,Cameron T Lee,F, .,120,0.085782573,7,1,2,1,1,3,654,873,52,0.918604651,0,serve5
6749,Martin X Lowe,F, .,102,24.88998668,6,20,3,1,0,2,983,842,36,0.745762712,0,serve5
6318,Suzzane B Cooke,F, .,138,0.774567653,0,10,3,2,3,3,1093,1337,23,1.180487805,0,serve5
308,Phil C Grant,F, .,108,1.130286059,17,18,4,0,0,3,935,312,62,0.72826087,0,serve5
2554,Sam D D'mello,F, .,108,0.393301537,2,15,3,0,3,0,610,799,27,1.024590164,0,serve5
5592,Christian Q Hawkins,F, .,120,0.180567609,17,9,2,0,1,0,732,695,26,0.867346939,0,serve5
5050,Hillary S Spencer,F, .,132,0.535287889,18,14,2,0,2,3,680,1233,24,1.127272727,0,serve5
1537,Jhon W Rhodes,F, .,132,0.488445725,18,14,3,1,2,2,782,667,24,0.497695853,0,serve5
3905,Currie   Rhodes,F, .,114,0.216632457,19,22,2,2,1,2,330,1303,35,1.75,0,serve5
2303,Jeremy G Wilks,F, .,96,0.312007437,8,3,3,1,2,1,814,667,35,1.045751634,0,serve5
6553,David H Black,F, .,102,0.502628212,8,23,1,0,2,2,424,810,31,1.986577181,0,serve5
7359,Sumantha D Taylor,F, .,162,1.728137514,4,20,2,0,2,2,624,924,40,1.657142857,0,serve5
3369,Desmond X Fowler,F, .,144,2.076691408,2,0,3,1,1,0,1036,659,47,0.67032967,0,serve5
4167,Suzzane A Mcintyre,F, .,84,3.929953391,8,13,1,1,1,1,988,496,48,0.295454546,0,serve5
3902,Kristin Z Fleming,F, .,120,0.143998945,12,3,3,1,2,2,794,388,33,0.946107784,0,serve5
5671,Bonnie S Mcintyre,F, .,102,0.58083512,1,14,4,0,0,0,784,485,52,1.437788018,0,serve5
560,Eve W Hadley,F, .,180,0.280011772,12,7,4,1,1,2,889,909,23,0.768115942,0,serve5
853,Brian P Fisher,F, .,90,1.422734983,15,15,3,2,2,1,431,1233,52,1.456953642,0,serve5
6585,Michelle G Eastwood,F, .,108,0.045004605,0,7,3,2,2,0,1135,277,41,0.696774194,0,serve5
2680,Ralph V Hunt,F, .,96,0.245211842,7,11,2,2,2,2,781,455,35,0.411111111,0,serve5
2889,Sally E Powell,F, .,132,13.03801429,22,15,1,1,3,0,666,1119,60,2.095808383,0,serve5
3447,Tom W Pott,F, .,114,0.80125315,1,16,2,1,2,2,325,1124,37,2.846846847,0,serve5
1020,Racheal V King,F, .,90,0.839977545,14,2,1,1,2,3,952,1397,27,1.222707424,0,serve5
