CUST_ID,name,GENDER_CD,EDUCATION_CD,SUBS_TENURE,TOT_OB_CALL_INTL_ROAM_CNT,TOT_DAY_LAST_COMPLAINT_CNT,TOT_DAY_LAST_SUSPENDED_CNT,MTH_TO_SUBS_END_CNT,TOT_SRV_DROPPED_CNT,TOT_SRV_ADDED_CNT,BARRING_REASON_CD,REV_AMT_BASE_1,REV_AMT_BASE_2,CUST_AGE,PCT_CHNG_IB_SMS_CNT,CHURN_FLG
3770,Christine O Robinson,F,1,168,0.256025161,7,10,2,1,0,2,920,1253,55,0.612244898,0
5937,Demie N White,M,2,156,3.301246335,11,17,4,0,1,2,584,412,50,0.624338624,0
1434,Cummins K Grant,M,2,114,8.164240566,7,11,3,1,3,2,1069,1267,57,1.039370079,0
3676,Desmond B Atkins,M,2,108,0.189172146,16,1,1,1,2,3,1137,474,36,1.654450262,0
2637,Chelsea M Murdoch,F,1,114,0.130911847,12,3,2,1,1,1,394,671,46,0.719512195,0
3538,Solomon P Taylor,M,1,84,0.644636715,13,6,2,1,1,1,1115,254,50,1.515151515,0
705,Phil H Roberts,M,1,96,0.008071713,4,23,2,2,3,3,517,657,39,0.918032787,0
6692,Desmond N Rogers,M,1,114,0.362619341,14,7,2,1,0,2,439,1254,27,0.229357798,0
4092,Christina Q Taylor,M, .,114,0.059632042,15,7,4,1,0,3,1147,883,61,1.410071942,0
1576,Carl V Lintern,M,1,120,2.781588904,22,18,2,1,0,2,820,416,30,0.558823529,0
3385,Helen Q Maxwell,M,2,120,0.465448466,18,21,3,1,2,2,1187,423,29,1.263736264,0
1606,Britney E Spence,M,1,114,0.083049503,10,11,2,1,1,0,1043,1018,24,1.801980198,0
7394,Alysia E Richie,F,2,120,1.639394592,8,21,3,1,2,2,466,862,33,0.931937173,0
1033,Desmond J Lowe,M,1,132,1.840603192,16,12,3,1,2,1,1187,417,61,1.32,0
6646,Chelsea B Warton,M,2,138,0.431216338,20,19,4,2,2,0,947,417,34,1.772151899,0
4067,Jack E Lara,M,2,114,0.204553459,13,12,3,1,2,0,774,846,55,1.3,0
1365,Cummins U Botham,M,1,108,0.205480734,26,27,2,0,3,1,813,899,45,1.928143713,0
4029,Barry O Fleming,M,1,108,0.153191902,20,18,2,1,0,2,781,477,55,2.105263158,0
5594,Jude K Carson,F,1,138,0.122373822,6,12,4,0,1,1,772,356,38,0.982300885,0
5341,Tom J Eastwood,M,2,90,0.771413558,1,6,2,0,3,1,814,1244,36,1.164319249,0
4796,Bonnie R Lowe,F,1,168,1.068589348,15,1,3,0,2,0,485,469,41,1.882352941,0
4910,Alysia H Besser,M,2,150,1.04397514,18,20,4,0,2,1,655,631,30,1.497142857,0
1728,Luke W Lowe,M,2,132,3.830871188,8,5,2,1,1,0,332,438,54,2.196428571,0
6299,Brooks T Warton,M,1,114,0.850316334,4,24,3,1,2,3,729,838,28,0.913793103,0
3746,Martin Z Jones,M,7,48,0.011347921,17,2,2,0,2,3,802,889,44,2.261904762,0
7150,Adolph P Wingard,M,1,114,0.728561128,19,3,2,1,0,2,240,299,31,0.874125874,0
2147,Helen J Hodges,M, .,150,0.120292088,6,10,1,2,3,2,935,416,60,1.228571429,0
5208,Ian R Potter,F,2,138,0.680672134,10,21,4,1,0,3,1191,556,38,0.57,0
269,Ana T Wallace,M,2,126,0.074269289,30,15,3,1,2,0,1040,674,61,1.428571429,0
2170,Hillary U Baldwin,F,2,174,0.581674849,5,3,2,1,0,3,1037,214,27,1.121387283,0
7359,Goldie E Morton,M,6,108,0.275288914,21,32,3,1,1,2,994,1153,25,2.884955752,0
6399,Luke P Fisher,M,6,138,0.358605269,4,2,3,1,3,2,1146,582,53,0.396475771,0
5591,Steward M Baxter,F,6,108,0.340885305,18,21,3,1,2,1,426,544,37,1.675324675,0
5635,Clint   Hadley,F,2,96,0.30201231,15,16,1,2,2,1,944,1353,56,1.588888889,0
6055,Russel M Welsh,F,2,126,0.150224278,9,11,1,1,3,3,1092,1382,31,0.507246377,0
5363,Hendrick J Howarth,M,1,114,3.295532121,8,3,2,1,1,2,693,445,43,1.506024096,0
1633,Cummins I Carson,F,1,144,0.939159798,16,22,2,0,1,0,926,1221,23,1.507936508,0
6180,Suzzane K Evans,M,1,72,56.46842585,18,15,4,0,1,2,451,1112,28,2.052980133,0
2871,Alexandria H Mcintyre,M,2,120,0.65225832,15,11,2,0,1,2,1064,426,60,1.085106383,0
1960,Robert J Warner,F,1,72,0.188756366,4,15,2,0,2,1,289,1242,52,1.272727273,0
4058,Clements Y Lowe,F,1,120,0.181094858,19,7,1,2,1,0,359,1356,54,1.780645161,0
4964,Martin B West,M,1,114,2.146702644,16,21,4,0,1,1,907,1075,47,1.142857143,0
7643,Dillon U White,F,2,138,3.205412063,8,11,3,1,1,0,223,376,31,0.890829694,0
570,Michelle K Rogers,M,1,168,0.155009034,6,3,4,1,1,3,620,229,37,1.128834356,0
6773,Adolph B Richie,F,2,120,0.167461553,9,1,3,0,2,2,590,356,32,3.152542373,0
3146,Jhonny J D'mello,F,1,114,0.133020286,8,13,4,1,0,0,1175,943,54,1.613259669,0
777,Cathy N Hadley,M,1,138,0.626864111,4,1,2,2,0,1,263,781,56,0.575221239,0
6404,Bonnie U Burton,F, .,150,0.143453337,1,6,3,2,2,1,509,644,37,1.195652174,0
4171,Paul M Sanders,F,1,72,0.30101926,3,12,2,2,1,0,939,314,39,0.747474748,0
4135,Augustine B Jones,F,2,120,0.455624523,6,15,3,1,2,3,486,1337,35,2.0375,0
2749,Glorin W Barlow,F,3,138,1.603558976,18,4,3,1,3,1,835,1199,50,1.386046512,0
2995,Suzzane F D'souza,M,2,144,0.761775839,17,20,4,1,0,0,226,1383,51,1.84962406,0
1583,Pele C West,M,1,108,0.022762669,4,0,2,2,0,2,348,717,36,0.446808511,0
2844,Clara P Birch,M,1,144,0.782112222,18,18,3,1,2,0,749,1265,41,1.076923077,0
5594,Alexandria Q Richie,F,1,120,0.287918697,13,15,2,1,2,0,381,753,30,0.995515695,0
6454,Henry V Flower,F,1,90,0.314073883,7,2,3,1,2,3,681,972,39,0.823529412,0
2149,Cindy G Rhodes,M,2,96,0.033262306,11,21,4,1,0,2,444,794,30,1.384615385,0
3532,Steward Z Warton,F, .,120,2.914879726,12,20,4,2,0,2,479,1222,32,1.096446701,0
5054,Clarke A White,M,2,102,1.220215806,17,21,4,1,2,2,900,1204,39,0.736363636,0
947,Clarke B Crowe,F,1,108,0.73339856,1,12,3,0,2,3,534,1347,39,1.519607843,0
5442,Sumantha K Adams,F,1,96,0.19010741,5,5,4,0,3,3,544,1367,41,1.424242424,0
6521,Irene N Grant,M,1,66,4.65126286,8,14,1,1,1,1,324,515,35,0.854700855,0
5629,Steward E Richie,M,2,132,0.181298761,11,16,2,1,0,1,1182,303,23,1.246231156,0
6743,Alysia E Adams,M,1,114,2.111307141,20,9,1,2,2,3,381,842,32,0.678414097,0
2733,James L Fleming,M,2,132,0.196539914,14,2,3,2,0,2,480,356,23,1.685950413,0
5390,Marilyn W Pearson,M,2,96,0.990707764,17,20,2,1,2,0,642,745,43,1.673758865,0
6135,Currie V Richie,M,1,126,3.906880789,17,12,3,2,2,1,365,802,55,0.440476191,0
5054,Mary N Anderson,F,1,102,0.95969932,17,4,4,0,0,2,440,1121,37,1.202453988,0
1887,Kristin O Flower,M,1,150,0.30398052,20,15,2,1,3,3,562,984,26,1.851428571,0
4614,Clint V Gonsalves,F,2,120,0.154065623,21,25,2,0,1,2,765,397,49,1.058201058,0
5148,Jerry A Hodges,F,1,102,0.386160337,7,12,1,1,2,0,1071,1113,46,1.468926554,0
7283,Irene X Black,M,2,108,0.006803523,10,19,2,1,0,0,694,1321,56,1.987261147,0
5395,Amy V Stuward,M,2,138,2.821309352,7,10,1,2,2,2,1005,672,25,1.171270718,0
3256,Clifford S Renne,M,2,84,0.242852328,22,19,3,2,1,2,229,237,61,0.696132597,0
6131,Jeremy H Hadley,F,2,114,0.309027578,9,10,2,2,1,3,789,1032,26,0.79144385,0
139,Jack C Wilks,F,1,114,0.514205519,11,10,4,1,1,3,496,917,49,1.555555556,0
1981,Jim M Whitehall,F,2,144,0.127131018,3,22,4,0,3,3,258,912,58,1.076923077,0
3561,Martin Z Smith,F,5,168,1.461379253,18,3,3,2,1,0,510,640,30,1.300970874,0
5613,Racheal V Flower,M,1,108,6.819789363,2,9,1,1,1,3,965,1158,24,0.584070797,0
2418,Elaine F Rogers,M,2,138,0.68693901,13,1,2,1,3,2,639,368,34,2.489208633,0
